cosmic_id,afatinib,cisplatin,dabrafenib,olaparib,palbociclib,trametinib,vismodegib
1290797,-4.440892098500626e-16,-0.7578545000000003,-2.220446049250313e-16,-0,-0.05244900000000019,-2.220446049250313e-16,-0.033853500000000425
1290798,-0,-4.531862499999999,-3.2047039999999996,-4.227651499999999,-3.984032,-5.4399619999999995,-3.5428734999999993
1290806,-2.681784,-2.2605685,-0,-0.8803374999999996,-1.0972439999999999,-1.05729,-0.8782894999999997
1290810,-2.380653,-2.7774545,-0,-0.7370595,-1.450882,-1.793815,-2.7938315
1290812,-0.24620800000000043,-0.8054455,-1.6042419999999995,-0.7003314999999997,-0.6686829999999999,-0,-1.6407504999999996
1290813,-3.9879090000000006,-3.1710325,-3.008001,-2.7528084999999995,-2.320138,-0,-1.1976114999999998
1290814,-1.4219760000000004,-0.8084349999999998,-0,-0.9181604999999995,-0.8084349999999998,-1.5337349999999998,-0.8084349999999998
1290905,-1.3126780000000005,-2.3569305000000003,-0,-0.4601865000000003,-0.24505900000000014,-2.9762750000000002,-0.6823155000000001
1290906,-0,-4.073876499999999,-5.025035999999999,-4.150834499999999,-6.726112999999999,-6.795551,-2.9551824999999994
1290907,-1.4717790000000006,-4.3820915,-4.11351,-4.4656105,-4.647194,-0,-2.4410335
1290908,-0.5547930000000003,-1.5224885,-2.5876150000000004,-0.5854704999999998,-0.15878100000000006,-0,-1.1159274999999995
1290922,-0,-1.4832834999999998,-1.5711019999999998,-0.9491354999999997,-3.3605839999999993,-1.6473279999999997,-1.5369774999999999
1295740,-1.6926640000000002,-2.1712385,-0,-2.1459984999999997,-2.080165,-3.41167,-2.0651485
1295741,-1.5203910000000003,-2.2646974999999996,-0,-2.4223535,-3.043291,-2.245892,-1.6759675000000003
1297439,-1.3822295000000002,-0,-1.2738705000000001,-1.280410999999999,-2.6422904999999997,-3.3991485,-0.763598
1297446,-1.3649530000000007,-2.1503335000000003,-0,-1.8182885,-1.1337170000000003,-0.19920700000000036,-0.8333155000000003
1297447,-0.4306485000000002,-1.3258520000000003,-0.6242255000000005,-0.5420740000000004,-1.9111645000000002,-2.3748595000000003,-0
1297449,-1.1116625,-1.3404030000000002,-0.5294965,-0.9406969999999997,-0.5682415000000001,-3.2410535,-0
1298141,-2.0603140000000004,-1.1775374999999997,-0,-2.6716314999999997,-0.9670689999999997,-0.23686499999999988,-1.5842794999999996
1298145,-1.3838220000000003,-0,-0,-0.5912914999999996,-0,-1.078711,-0
1298146,-3.408893,-0.9200435,-3.2110459999999996,-1.7804324999999996,-0,-2.537785,-1.1552814999999999
1298151,-0.0904020000000001,-5.838303499999999,-5.303115999999999,-4.849264499999999,-6.958116999999999,-0,-5.037704499999999
1298156,-0,-3.9790275,-6.290724,-3.9776244999999992,-5.234164999999999,-2.6538129999999995,-5.274848499999999
1298157,-0.26104500000000064,-1.4835755000000002,-0,-1.2046014999999999,-2.6029230000000005,-0.7211980000000002,-1.5851264999999999
1298160,-8.790457,-7.1342205000000005,-0,-8.5349985,-8.090947,-2.1682690000000004,-8.2296485
1298168,-0.2599490000000002,-1.3602714999999999,-0.259949,-0.25994899999999976,-0,-0.259949,-0.6140685000000004
1298169,-1.546093,-0.3225944999999997,-0,-1.6384754999999993,-0.20024299999999973,-1.3458169999999998,-0.4299225
1298215,-1.2340370000000003,-2.1476155,-1.2360410000000002,-1.4484784999999998,-0,-0.5715509999999999,-2.0724574999999996
1298216,-1.3493655000000002,-1.0300700000000003,-1.0266355000000003,-0,-0.8812225,-1.5246925,-1.4635230000000004
1298219,-0.7302370000000002,-1.2243285,-0,-2.2203064999999995,-0.8311439999999999,-1.597133,-2.3109425000000003
1298222,-0,-1.4205025,-0.8888039999999999,-1.3303224999999994,-1.0663809999999998,-1.8685239999999999,-0.3791494999999996
1298223,-0,-0.3650204999999995,-2.115617999999999,-1.5567714999999995,-0.7741999999999993,-0.37634299999999943,-0.2850314999999992
1298226,-2.553941,-3.1577575,-0,-3.5061025,-3.047461,-2.526478,-3.2839285
1298347,-1.0148275000000009,-2.178641,-1.1169265,-0.6116479999999997,-2.3824864999999997,-3.0577645,-0
1298348,-0,-5.8463465,-4.409326999999999,-4.1187515,-5.287065,-2.376267,-3.6549224999999996
1298349,-1.0129015,-0,-1.1038765000000001,-0.5225679999999997,-1.7912995,-1.6888524999999999,-0.4680239999999998
1298350,-0,-3.1408885,-5.208062999999999,-4.158954499999999,-6.799011999999999,-4.8997209999999995,-4.8875744999999995
1298351,-0,-0.2523554999999995,-1.8187749999999991,-1.2786584999999993,-1.9797869999999993,-0.9103489999999995,-0.8454704999999998
1298352,-0.9092755000000006,-1.54263,-0.9360125000000004,-0.9542950000000001,-2.1795204999999997,-3.0664245,-0
1298353,-0.22447450000000035,-0.19617099999999965,-0.6214705,-0.7206769999999993,-2.0322554999999998,-0.8631504999999997,-0
1298356,-1.2668320000000002,-2.1835104999999997,-1.200226,-1.1793175,-0,-0.7854970000000001,-0.6861935000000001
1298357,-0,-7.202104500000001,-7.4333610000000006,-7.4904425,-6.9394730000000004,-1.605194000000001,-6.7895635
1298358,-7.826659,-6.8961955,-6.839778,-6.0576235,-6.470025,-0,-7.2024085
1298359,-0,-5.3378715,-5.215429,-4.8704585,-2.788953,-1.924807,-4.1918925
1298362,-0,-2.9413579999999997,-3.2969139999999997,-2.1528814999999994,-1.3234179999999998,-0.6750599999999998,-2.9413579999999997
1298365,-0.25285600000000064,-0.9289255000000003,-0.4719740000000001,-2.9115145,-0,-1.3149780000000002,-2.3080165
1298475,-1.956182000000001,-4.2658205,-2.005126,-4.152044500000001,-2.7266820000000003,-0,-4.260600500000001
1298476,-0.47768800000000033,-2.9890645,-0.4776880000000001,-0.4776879999999999,-0,-0.4776880000000001,-2.0849094999999997
1298526,-2.479385,-4.5454455,-3.669192,-3.6711274999999994,-3.531528,-0,-4.6832625
1298529,-1.7181010000000008,-0.8595385000000002,-2.2286979999999996,-1.6171105,-0,-1.8469449999999998,-1.0971015
