cosmic_id,afatinib,cisplatin,dabrafenib,olaparib,palbociclib,trametinib,vismodegib
905948,2,5,4,6,1,7,3
905949,6,1,4,3,5,7,2
905950,7,4,6,2,1,5,3
905951,6,4,3,7,1,5,2
905952,2,4,5,3,7,1,6
905954,5,2,7,1,3,6,4
905955,2,5,6,3,4,7,1
905956,4,6,7,1,5,3,2
905957,2,6,1,3,7,5,4
905958,2,5,6,4,7,1,3
905959,6,1,7,5,4,3,2
905960,1,2,3,5,6,7,4
905961,3,1,5,2,4,7,6
905962,1,4,3,5,6,7,2
905963,7,5,6,2,3,4,1
905964,2,4,5,3,7,1,6
905967,7,4,5,3,2,1,6
905968,6,3,2,4,5,7,1
905969,3,5,2,4,6,7,1
905970,7,1,3,2,4,6,5
905971,1,6,2,5,3,4,7
905972,1,5,2,6,4,7,3
905973,3,6,2,5,4,7,1
905974,3,1,7,5,4,6,2
905975,2,1,7,5,4,6,3
905976,3,5,7,4,1,6,2
905977,4,1,7,5,3,6,2
905978,3,4,6,1,5,7,2
905979,5,1,7,4,2,6,3
905980,7,2,5,1,4,6,3
905981,4,1,5,7,2,6,3
905982,7,5,2,4,1,6,3
905983,1,4,2,7,3,6,5
905984,3,6,2,5,1,7,4
905985,6,2,1,4,5,3,7
905986,3,7,4,5,6,1,2
905989,6,2,5,1,7,3,4
905990,6,4,2,3,1,7,5
905991,5,4,2,7,1,3,6
906693,3,6,4,1,5,7,2
906696,1,3,7,2,5,6,4
906746,2,3,1,5,6,7,4
906763,5,2,7,3,6,1,4
906765,4,7,5,3,1,2,6
906790,1,6,2,4,7,3,5
906791,3,7,5,2,4,6,1
906792,1,7,2,5,3,4,6
906793,1,5,7,2,3,6,4
906794,4,5,1,6,2,3,7
906795,2,1,7,3,5,6,4
906797,6,5,2,7,1,4,3
906798,3,7,1,5,2,4,6
906800,2,3,7,5,6,1,4
906801,6,4,2,3,1,5,7
906804,2,6,4,5,1,7,3
906805,7,2,1,5,3,6,4
906807,3,6,2,4,7,1,5
906808,5,3,4,6,2,1,7
906812,7,2,4,5,1,3,6
906813,4,3,2,7,6,1,5
906814,2,4,3,1,5,7,6
906817,6,2,1,5,7,3,4
906818,4,5,7,2,3,6,1
906820,1,5,2,4,6,7,3
906821,7,1,6,3,5,4,2
906823,3,6,4,2,7,1,5
906824,6,7,3,5,2,1,4
906826,4,1,7,6,3,5,2
906827,3,4,7,2,1,6,5
906828,2,3,6,4,5,7,1
906830,1,5,7,3,4,6,2
906831,4,3,7,6,2,1,5
906832,6,2,5,3,7,1,4
906833,2,6,3,7,4,1,5
906834,3,6,2,5,7,1,4
906835,1,4,7,3,6,5,2
906836,4,3,5,6,1,2,7
906837,2,3,6,4,5,1,7
906838,4,2,5,3,7,1,6
906839,3,2,4,5,6,7,1
906841,5,2,1,7,3,4,6
906842,1,7,2,4,6,3,5
906843,7,5,3,6,1,2,4
906844,2,4,7,3,1,6,5
906846,4,7,5,3,2,1,6
906847,7,3,6,4,2,1,5
906848,3,4,2,5,1,7,6
906851,5,2,3,6,7,1,4
906852,3,2,7,4,5,6,1
906853,5,4,3,2,6,7,1
906854,1,5,7,2,6,3,4
906855,4,1,6,2,5,7,3
906856,3,1,6,2,5,7,4
906861,7,1,3,5,6,2,4
906862,2,6,3,7,4,1,5
906863,7,5,2,4,6,3,1
906864,7,6,3,2,1,4,5
906865,1,4,7,5,2,6,3
906868,6,2,4,5,7,1,3
906869,4,3,5,7,1,6,2
906870,6,3,7,4,1,2,5
906871,3,7,4,6,1,2,5
906873,2,6,3,5,7,4,1
906875,2,7,3,6,4,1,5
906877,4,5,7,6,3,1,2
906999,1,3,6,7,4,2,5
907000,2,7,3,6,1,4,5
907042,3,5,4,7,6,1,2
907043,7,4,6,2,1,3,5
907044,5,1,7,6,4,2,3
907045,7,6,5,3,2,1,4
907046,7,2,3,6,1,4,5
907047,6,2,5,7,4,1,3
907048,5,6,1,2,4,3,7
907050,3,1,6,5,2,7,4
907051,2,7,3,6,5,1,4
907055,2,4,3,6,7,1,5
907056,5,3,6,2,7,1,4
907057,2,5,3,4,7,1,6
907058,1,4,6,3,5,7,2
907059,7,2,1,5,3,6,4
907060,4,6,3,2,5,1,7
907061,7,1,2,5,3,6,4
907062,7,6,5,2,1,4,3
907064,1,3,2,6,5,7,4
907065,5,4,3,7,1,6,2
907066,7,4,6,5,1,3,2
907067,1,3,7,2,5,6,4
907068,7,4,2,6,1,5,3
907069,5,1,6,4,3,7,2
907071,1,3,6,5,4,7,2
907072,3,6,4,5,2,1,7
907073,1,5,6,7,3,2,4
907169,1,2,3,5,6,4,7
907170,5,6,3,7,1,2,4
907171,1,3,4,2,5,7,6
907172,1,3,7,5,4,6,2
907173,3,4,2,7,5,1,6
907175,6,4,7,3,1,2,5
907176,5,7,3,6,2,1,4
907268,5,2,6,4,3,1,7
907270,1,5,7,4,3,2,6
907271,2,4,3,1,5,7,6
907272,3,2,4,5,7,1,6
907273,2,7,3,5,4,1,6
907274,4,2,7,3,5,1,6
907275,5,2,6,1,3,7,4
907276,4,2,3,1,7,6,5
907277,2,5,7,3,6,1,4
907278,6,4,7,2,3,1,5
907279,1,4,7,2,6,5,3
907280,5,2,6,1,3,7,4
907281,2,1,3,6,4,5,7
907282,3,5,6,4,7,1,2
907285,4,5,2,1,6,7,3
907286,7,5,2,4,6,3,1
907287,4,1,5,7,2,6,3
907289,7,2,6,1,3,4,5
907290,2,3,6,1,5,7,4
907291,4,5,2,1,6,3,7
907295,4,1,6,5,7,2,3
907300,1,4,2,5,7,3,6
907311,3,1,6,4,2,7,5
907312,1,3,6,2,5,7,4
907313,5,3,1,6,4,7,2
907314,6,2,4,3,1,5,7
907317,5,1,2,4,6,3,7
907318,3,4,2,7,5,1,6
907319,6,3,2,7,4,1,5
907320,7,3,1,2,4,6,5
907321,5,6,2,4,3,1,7
907322,4,7,5,3,2,1,6
907323,3,5,7,6,2,1,4
907783,2,5,4,3,7,1,6
907786,2,3,1,6,7,5,4
907787,5,4,6,7,2,1,3
907788,2,4,7,6,3,1,5
907789,5,6,4,3,7,1,2
907790,5,2,6,1,4,7,3
907791,6,3,5,4,2,1,7
907792,6,1,2,3,5,7,4
907794,2,3,6,4,1,7,5
907795,3,5,2,1,6,7,4
907796,1,2,5,7,3,6,4
907799,5,3,6,4,2,1,7
908121,7,6,2,3,4,1,5
908122,7,2,4,6,1,3,5
908123,7,5,3,6,1,2,4
908124,1,4,7,5,2,6,3
908125,1,4,5,3,6,7,2
908126,4,2,7,3,1,6,5
908127,4,6,7,5,2,1,3
908128,1,4,6,2,3,7,5
908129,5,2,4,7,1,3,6
908130,1,3,6,7,5,2,4
908132,5,6,4,3,2,1,7
908136,6,2,5,3,7,1,4
908138,7,3,2,1,4,5,6
908139,2,1,3,5,6,4,7
908141,2,5,4,7,1,3,6
908142,4,5,7,2,6,1,3
908143,4,3,6,5,2,1,7
908144,4,7,3,5,1,2,6
908145,2,6,1,5,4,7,3
908146,3,1,5,4,6,7,2
908147,2,3,7,5,6,1,4
908148,5,2,7,4,3,1,6
908150,6,7,1,5,2,4,3
908151,4,2,5,6,3,1,7
908156,1,3,5,2,4,7,6
908158,4,5,3,2,6,1,7
908159,3,7,4,5,2,1,6
908443,3,6,2,4,7,1,5
908444,2,3,7,5,1,4,6
908445,5,7,4,1,3,6,2
908446,5,3,6,4,1,2,7
908447,2,6,3,5,7,4,1
908448,2,4,6,5,1,7,3
908449,1,4,7,5,3,6,2
908450,4,7,2,3,1,5,6
908451,7,3,4,1,5,2,6
908452,5,1,4,3,6,2,7
908454,5,6,3,7,2,4,1
908455,7,1,3,4,5,6,2
908457,6,1,4,3,5,7,2
908458,3,2,4,1,5,7,6
908459,6,2,3,7,1,5,4
908460,6,1,4,3,5,7,2
908461,7,5,6,4,1,2,3
908462,4,1,7,5,3,6,2
908463,7,4,1,2,5,3,6
908465,7,2,4,1,5,6,3
908467,3,6,4,5,2,1,7
908468,4,7,3,6,2,1,5
908469,7,3,6,4,1,2,5
908470,7,2,6,4,5,1,3
908471,2,6,5,7,4,1,3
908472,2,3,7,1,4,6,5
908473,6,1,5,4,3,7,2
908474,3,2,6,5,7,1,4
908475,4,1,7,2,6,5,3
908476,3,1,7,4,2,6,5
908482,7,1,4,2,3,6,5
908483,3,6,4,5,2,1,7
909248,1,4,6,2,5,7,3
909249,4,3,5,7,2,1,6
909250,2,6,1,4,7,3,5
909251,2,5,3,4,6,1,7
909252,3,5,2,7,6,1,4
909253,3,2,7,5,1,4,6
909255,1,7,2,4,6,3,5
909256,7,2,5,6,3,1,4
909257,5,4,7,6,1,2,3
909260,2,4,3,5,7,1,6
909262,3,5,4,6,2,1,7
909263,5,2,6,1,3,7,4
909264,4,1,6,5,2,7,3
909696,5,2,3,6,7,1,4
909697,2,4,7,3,5,1,6
909698,1,2,7,3,5,6,4
909699,7,1,5,4,3,6,2
909702,4,3,6,5,7,1,2
909703,2,3,5,6,7,1,4
909704,1,3,7,2,4,6,5
909706,4,3,7,1,5,6,2
909707,6,4,2,7,3,1,5
909708,6,3,1,4,5,7,2
909709,7,3,1,5,4,6,2
909711,3,6,5,7,2,1,4
909712,1,7,2,6,5,3,4
909713,5,1,7,3,4,6,2
909716,2,7,3,4,6,1,5
909717,2,4,5,3,7,6,1
909718,1,2,5,6,4,7,3
909719,1,3,4,6,5,7,2
909720,2,5,1,4,6,7,3
909721,1,2,5,4,7,6,3
909722,4,1,5,3,6,7,2
909723,4,2,7,3,1,6,5
909724,4,1,7,2,5,6,3
909725,5,3,7,4,2,6,1
909726,1,6,5,2,3,7,4
909727,4,5,7,6,1,3,2
909728,6,1,4,3,5,7,2
909729,3,7,5,4,6,1,2
909731,4,7,3,5,2,1,6
909732,2,6,5,7,4,1,3
909735,5,1,7,4,2,6,3
909736,2,5,1,4,6,7,3
909737,5,1,4,6,2,7,3
909738,7,1,4,3,5,6,2
909740,6,3,2,7,1,5,4
909743,4,3,5,6,2,1,7
909744,7,3,5,1,2,6,4
909745,2,4,3,1,5,7,6
909746,7,3,2,1,4,6,5
909747,6,1,7,3,2,5,4
909748,6,3,2,1,4,7,5
909749,4,1,6,2,5,7,3
909750,6,5,3,7,1,2,4
909751,6,5,4,3,1,7,2
909753,3,1,2,5,4,7,6
909754,3,1,5,4,2,6,7
909755,7,3,1,2,4,6,5
909756,2,3,7,1,4,6,5
909757,6,3,2,7,1,5,4
909758,3,1,2,5,7,6,4
909759,1,3,7,5,4,6,2
909761,6,2,3,5,1,7,4
909769,5,4,1,3,7,2,6
909770,4,2,6,3,1,7,5
909771,3,5,4,7,2,1,6
909773,4,2,6,3,7,1,5
909774,1,2,6,4,5,7,3
909776,2,6,1,5,4,7,3
909777,6,5,3,4,2,1,7
909778,7,3,1,6,4,5,2
909779,3,2,6,7,5,1,4
909780,1,2,3,6,7,4,5
909781,4,1,7,3,6,2,5
909784,1,5,4,2,3,7,6
909785,2,3,7,4,5,1,6
909904,5,1,6,3,4,7,2
909905,6,3,5,1,7,4,2
909907,7,4,6,3,2,1,5
909974,7,1,4,2,5,6,3
909975,6,7,2,5,1,3,4
909976,3,4,5,6,2,1,7
909977,3,5,4,6,1,2,7
910079,7,3,2,6,1,5,4
910209,4,2,3,5,7,1,6
910399,4,5,1,6,7,3,2
910401,4,5,3,2,6,1,7
910544,4,5,3,2,6,1,7
910546,2,5,6,3,1,7,4
910548,3,4,7,5,1,6,2
910549,7,4,2,1,6,5,3
910554,7,6,2,1,4,3,5
910566,7,5,6,3,2,1,4
910567,2,6,3,5,7,1,4
910568,2,5,4,1,6,7,3
910569,3,5,2,4,6,1,7
910687,6,4,3,2,5,1,7
910689,6,1,4,2,5,7,3
910691,4,5,3,6,2,1,7
910692,5,6,3,4,1,2,7
910694,5,4,3,6,1,2,7
910695,7,3,1,2,4,6,5
910697,7,5,1,3,6,2,4
910698,6,2,1,7,3,5,4
910700,6,3,2,1,4,5,7
910701,6,1,5,4,3,7,2
910702,3,1,5,2,6,7,4
910703,6,3,7,4,1,2,5
910704,7,6,3,4,2,5,1
910705,4,5,3,6,2,1,7
910706,3,6,5,2,4,1,7
910710,1,3,7,4,6,2,5
910779,5,3,7,1,2,6,4
910780,4,5,3,2,7,1,6
910781,1,5,4,6,3,2,7
910784,5,1,7,6,2,4,3
910849,7,5,3,4,2,1,6
910850,2,1,6,5,3,7,4
910851,1,2,7,5,3,4,6
910852,7,2,1,4,5,6,3
910853,7,2,6,3,1,5,4
910861,6,1,7,3,5,2,4
910899,5,4,3,6,2,1,7
910900,4,6,5,7,2,1,3
910903,1,6,2,4,7,3,5
910904,7,3,4,2,5,6,1
910905,4,1,5,2,6,7,3
910906,4,2,5,6,3,1,7
910907,7,5,1,4,3,6,2
910911,7,2,5,4,1,6,3
910915,6,2,4,1,5,7,3
910916,7,3,2,4,1,6,5
910919,6,3,7,4,1,2,5
910920,5,2,7,1,3,4,6
910921,1,4,7,2,3,6,5
